fecha_utc,par,tf,tipo,nivel,precio_actual,rsi
2026-07-30T17:43+00:00,SOLUSDT,1h,resistencia,74.56,74.58,59.36
2026-07-30T17:43+00:00,SOLUSDT,4h,resistencia,75.0,74.65,52.46
2026-07-30T17:43+00:00,SOLUSDT,1d,soporte,73.39,73.68,43.51
2026-07-30T17:43+00:00,ETHUSDT,1h,soporte,1912.84,1919.38,53.79
2026-07-30T17:43+00:00,BTCUSDT,1h,resistencia,64940.016667,64818.01,59.69
2026-07-30T17:43+00:00,BTCUSDT,1h,soporte,64650.0,64818.01,59.69
2026-07-30T17:43+00:00,BTCUSDT,4h,resistencia,64696.415,64730.3,55.25
2026-07-30T17:43+00:00,BNBUSDT,4h,resistencia,593.47,590.99,72.47
2026-07-30T17:43+00:00,BNBUSDT,1d,soporte,570.185,571.99,49.01
2026-07-30T17:43+00:00,XRPUSDT,1h,soporte,1.0893,1.09,61.72
2026-07-30T19:00+00:00,ETHUSDT,1h,resistencia,1909.8,1916.29,51.59
2026-07-30T19:00+00:00,XRPUSDT,1h,soporte,1.084533,1.0854,54.93
2026-07-30T22:38+00:00,SOLUSDT,1h,resistencia,74.56,74.49,55.3
2026-07-30T22:38+00:00,SOLUSDT,4h,resistencia,75.0,74.78,53.33
2026-07-30T22:38+00:00,SOLUSDT,1d,soporte,73.39,73.68,43.51
2026-07-30T22:38+00:00,ETHUSDT,1h,soporte,1912.84,1918.67,52.33
2026-07-30T22:38+00:00,BTCUSDT,1h,resistencia,64940.016667,64735.53,56.25
2026-07-30T22:38+00:00,BTCUSDT,1h,soporte,64650.0,64735.53,56.25
2026-07-30T22:38+00:00,BTCUSDT,4h,resistencia,64696.415,64800.0,56.02
2026-07-30T22:38+00:00,BNBUSDT,4h,resistencia,593.47,594.62,74.79
2026-07-30T22:38+00:00,BNBUSDT,1d,soporte,570.185,571.99,49.01
2026-07-30T23:37+00:00,XRPUSDT,1h,soporte,1.084533,1.0859,54.19
2026-07-30T23:37+00:00,XRPUSDT,1h,soporte,1.0893,1.0859,54.19
2026-07-31T01:09+00:00,BTCUSDT,1d,soporte,65000.0,64780.02,52.51
2026-07-31T01:09+00:00,BNBUSDT,1d,resistencia,593.47,591.99,60.88
2026-07-31T01:09+00:00,XRPUSDT,4h,soporte,1.08405,1.0829,49.85
