fecha_utc,par,lado,precio,sl,tp1,tp2,rr1,rr2,obv_x_ema,roi_sl_pct,roi_tp1_pct,roi_tp2_pct,resultado_R
2026-07-19T16:06+00:00,BTCUSDT,SHORT,64585.32,64845.9703,64324.6697,64237.7863,1.0,1.33,-0.0361,-0.444,0.364,0.498,
2026-07-19T18:05+00:00,ETHUSDT,LONG,1867.23,1854.0933,1880.3667,1884.7457,1.0,1.33,0.0629,-0.744,0.664,0.898,
2026-07-19T20:13+00:00,ETHUSDT,LONG,1862.37,1848.6024,1876.1376,1880.7268,1.0,1.33,0.0134,-0.779,0.699,0.946,
2026-07-21T01:01+00:00,ETHUSDT,LONG,1914.8,1893.0294,1936.5706,1943.8274,1.0,1.33,0.0277,-1.177,1.097,1.476,
2026-07-21T01:01+00:00,BTCUSDT,LONG,65568.01,64985.4481,66150.5719,66344.7591,1.0,1.33,0.0786,-0.928,0.848,1.145,
2026-07-21T16:08+00:00,SOLUSDT,LONG,78.14,77.4036,78.8764,79.1219,1.0,1.33,3.3718,-0.982,0.902,1.217,
2026-07-22T06:12+00:00,XRPUSDT,SHORT,1.1335,1.1442,1.1228,1.1193,1.0,1.33,-0.0025,-0.98,0.9,1.213,
2026-07-23T20:03+00:00,BNBUSDT,SHORT,566.64,569.913,563.367,562.276,1.0,1.33,-0.1469,-0.618,0.538,0.73,
2026-07-23T22:15+00:00,BNBUSDT,SHORT,567.37,570.547,564.193,563.1339,1.0,1.33,-0.7766,-0.6,0.52,0.707,
2026-07-23T23:11+00:00,BTCUSDT,LONG,65195.43,64770.8586,65620.0014,65761.5252,1.0,1.33,0.0372,-0.691,0.611,0.828,
2026-07-24T00:09+00:00,BTCUSDT,SHORT,65098.97,65512.867,64685.073,64547.1073,1.0,1.33,-0.0459,-0.676,0.596,0.808,
2026-07-24T00:09+00:00,BNBUSDT,SHORT,567.41,570.4537,564.3663,563.3518,1.0,1.33,-0.0633,-0.576,0.496,0.675,
